appid,ate,se,nobs,price,title,regular_price,logprice,ngames,ngames_pub,logngames,years_since_release,release_year,logyrs,indie,multiplayer,free_to_play,rich_story,difficult,early_access,remake,retro,metascore,metastd,rating_count,logratecount,date_num,wkend,is_promo,game_sponsored,game_sponsored_daily,game_primary,game_primary_daily,is_significant
12120,0.00425857047744769,0.00101492083363255,5447,,Save 65% on Grand Theft Auto: San Andreas,14.99,,10,10,2.30258509299405,15.939726,2005,2.82966151435874,0,1,0,1,0,0,0,0,93,1.9409268,65215,11.0854601165824,0,FALSE,,0.01428123,0,0.49733207,0.635106404151884,TRUE
12140,-0.000513740168876054,0.00576377570761889,5447,,Max Payne,9.9899998,,10,10,2.30258509299405,19.80822,2001,3.03534810094705,0,0,0,1,0,0,0,0,89,1.4562665,8778,9.08011778492621,0,FALSE,,0,0,0.013392857,0,FALSE
12170,-0.0509215558761991,0.0416499132752373,5447,0,Grand Theft Auto,0,0,10,10,2.30258509299405,22.879452,1998,3.17301834018739,0,1,1,1,1,0,0,0,-99,2.6149588,303,5.71702770140622,0,FALSE,,0.012417823,0,0.086924762,0.0016406099312007,FALSE
12200,-0.00124250361879618,0.00246458105153616,5447,,Save 65% on Bully: Scholarship Edition,14.99,,10,10,2.30258509299405,12.561644,2008,2.60724551410146,0,1,0,1,0,0,0,0,72,2.3522518,17414,9.7650871828001,0,FALSE,,0.0035756854,0,0.073897496,0,FALSE
12210,0.00955783533935169,0.000582602298010529,5447,,Save 70% on Grand Theft Auto IV: The Complete Edition,19.99,,10,10,2.30258509299405,1.1315068,2020,0.756829147459653,0,1,0,1,0,0,0,0,90,2.8785703,88945,11.3957847229991,0,FALSE,,0.0032124829,0,0.23129876,0.0805515898391604,TRUE
12750,0.125345942291102,0.0154482760390364,5447,,,0,,3,26,1.09861228866811,12.942466,2008,2.63493929069154,,1,0,,0,,,,87,-99,,,0,FALSE,,0.012578616,,0.006289308,,TRUE
15210,0.0273696253065661,0.00379130562610853,5447,,Silent Hunter® III,9.9899998,,16,73,2.77258872223978,16.167124,2005,2.84299615942342,0,1,0,1,0,0,0,0,90,2.6958764,1633,7.39878627541995,0,FALSE,,0,,0.20192307,,TRUE
17450,0.0036602060076077,0.00264931704956716,5447,,Dragon Age: Origins,19.99,,18,60,2.89037175789616,11.517808,2009,2.52715227047148,0,0,0,1,0,0,0,0,91,1.9871758,9523,9.16157020760675,0,FALSE,,0,0,0.26278028,0,FALSE
19000,-0.00312576705511948,0.0344220421857553,5447,,Silent Hill Homecoming,39.990002,,3,17,1.09861228866811,12.517808,2008,2.60400792729279,0,1,0,1,0,0,0,0,64,2.8927596,1559,7.35244110024358,0,FALSE,,0,0,0.094999999,0,FALSE
19980,0.0147403261622798,0.0248708670381318,5447,,Prince of Persia®,9.9899998,,16,73,2.77258872223978,12.424658,2008,2.5970931652101,0,0,0,1,0,0,0,0,82,2.6580288,1921,7.56112158953024,0,FALSE,,0.014705882,0,0,0,FALSE
20900,0.0134993639974598,0.00110904596143772,5447,,The Witcher: Enhanced Edition Director's Cut,9.9899998,,4,5,1.38629436111989,12.657535,2008,2.61429138397894,0,0,0,1,0,0,0,0,86,2.1878304,60150,11.0046133463685,0,FALSE,,0,0,0.11122882,0,TRUE
22120,0.0587268485940591,0.0464130134061107,5447,,Penumbra: Black Plague Gold Edition,9.9899998,,2,4,0.693147180559945,12.30411,2009,2.58807301004646,1,1,0,1,0,0,0,0,78,-99,2047,7.6246189861594,0,FALSE,,0,,0,,FALSE
33230,-0.000812512954076216,0.00235554467528778,5447,,Assassin's Creed 2 Deluxe Edition,19.99,,16,73,2.77258872223978,11.180822,2010,2.49986274768929,0,1,0,1,0,0,0,0,90,1.6692833,31431,10.3555817612383,0,FALSE,,0.010494753,0,0.10344828,0.0371148474514484,FALSE
39140,0.00151811355227971,0.00103412943494703,5447,,FINAL FANTASY VII,11.99,,15,61,2.70805020110221,7.8575344,2013,2.18126844146431,0,0,0,1,0,0,0,1,92,1.9813113,19727,9.88979422540413,0,FALSE,,0.0012674271,0,0.48669201,0.969718682928942,FALSE
39150,0.0311690858708488,0.00225557596914814,5447,,FINAL FANTASY VIII,11.99,,15,61,2.70805020110221,7.4356165,2013,2.13246280164958,0,0,0,1,0,0,0,1,73,1.8975224,7693,8.94819608331224,0,FALSE,,0.00088809949,0,0.42184725,0.665173592977226,TRUE
39210,0.0895076275211493,0.00138058531374544,5447,,FINAL FANTASY XIV Online,19.99,,15,61,2.70805020110221,7.2301369,2014,2.10780264881552,0,1,0,1,0,0,0,0,83,2.7631962,39906,10.5943070260869,0,FALSE,,0.013678627,0.0283405715599656,0.70481122,0.605151419219737,TRUE
39500,-0.0017449195857241,0.00413031961270888,5447,,Save 75% on Gothic® 3,9.9899998,,7,42,1.94591014905531,14.586302,2006,2.74639245159705,0,0,0,1,0,0,0,0,80,2.4081326,7000,8.8538082749772,0,FALSE,,0.015625,0,0.082589284,0.101694911718368,FALSE
39510,0.000628795529223796,0.0035110062471171,5447,,Save 75% on Gothic II: Gold Edition,9.9899998,,7,42,1.94591014905531,15.457534,2005,2.80078336628515,0,0,0,1,1,0,0,0,79,1.8838506,8072,8.99628043939502,0,FALSE,,0.0079155676,0,0.55584872,0.52425691485405,FALSE
42700,0.00408899333138935,0.00132965780655356,5447,,Save 50% on Call of Duty®: Black Ops,39.990002,,8,32,2.07944154167984,10.509589,2010,2.44318051401631,0,1,0,1,0,0,0,0,81,2.7016516,25783,10.1575094234953,0,FALSE,,0.0010626992,0,0.60998935,0.921921434986871,TRUE
42960,-0.0111703929946769,0.000816243350368465,5447,,Victoria II,19.99,,6,44,1.79175946922806,10.704109,2010,2.45993997672982,0,1,0,0,0,0,0,0,75,2.3744152,12775,9.45532368989485,0,FALSE,,0,,0.47154471,,TRUE
45760,0.0207240361078898,0.00285607382932186,5447,,Save 75% on Ultra Street Fighter® IV,29.99,,13,14,2.56494935746154,6.7643838,2014,2.04954709736679,0,1,0,0,1,0,0,0,82,2.8720117,11390,9.34057884889991,0,FALSE,,0.01472754,0,0.4963181,0.327922075986862,TRUE
47780,0.00370767017538811,0.0030026364165832,5447,,Dead Space™ 2,19.99,,18,60,2.89037175789616,10.29863,2011,2.42468147943021,0,1,0,1,0,0,0,0,87,1.7710806,15875,9.67256381390296,0,FALSE,,0.0037257825,0,0.039493293,0,FALSE
48000,-8.97695131003822e-05,0.0055372204554781,5447,,LIMBO,9.9899998,,2,2,0.693147180559945,9.7808218,2011,2.37776879634144,1,0,0,0,1,0,0,0,88,1.9892998,40093,10.5989819761644,0,FALSE,,0.0074850298,0,0.0074850298,0,FALSE
49520,-0.00051709776169717,0.000595902062351058,5447,,Save 75% on Borderlands 2,19.99,,16,52,2.77258872223978,8.6520548,2012,2.26717082532644,0,1,0,1,0,0,0,0,89,2.1788054,249343,12.4265887481221,0,FALSE,,0.0031201248,0,0.39053562,0.827909772633575,FALSE
50300,-0.0061428609783982,0.00578067001965098,5447,,Spec Ops: The Line,29.99,,16,52,2.77258872223978,8.8821917,2012,2.29073431914251,0,1,0,1,0,0,0,0,76,1.7694774,44848,10.7110565706943,0,FALSE,,0,0,0.014285714,0,FALSE
57400,-0.000718015553265595,0.00318811477955161,5447,,Batman: Arkham City,4.9899998,,7,7,1.94591014905531,9.4931507,2011,2.35072273002823,0,0,0,0,0,0,0,0,91,1.8834466,1947,7.57455848420248,0,FALSE,,0.011326861,0,0.097087376,0,FALSE
65540,0.000905830281699959,0.00418266673842538,5447,,Save 75% on Gothic 1,9.9899998,,7,42,1.94591014905531,20.169863,2001,3.05257861370401,0,0,0,1,1,0,0,1,81,1.5419523,7896,8.97423821949758,0,FALSE,,0.016103059,,0.10628019,,FALSE
72850,0.00607631574352939,0.000344417238561773,5447,,The Elder Scrolls V: Skyrim,19.99,,9,35,2.19722457733622,9.5068493,2011,2.35202735878471,0,0,0,1,0,0,0,0,94,1.7495503,301774,12.6174369855693,0,FALSE,,0.0047940342,0,0.40625,0.491265098750773,TRUE
94400,0.0440719807390468,0.0226806394560588,5447,,Nidhogg,9.9899998,,2,1,0.693147180559945,7.3287673,2014,2.11971546203488,1,1,0,0,0,0,0,0,81,2.5377152,7012,8.85552084853691,0,FALSE,,0.035714287,,0,,FALSE
97330,-0.10557203290256,0.024974833345076,5447,,Magic: The Gathering - Duels of the Planeswalkers 2013,0,,1,1,0,8.8958902,2012,2.29211953963656,0,1,0,0,0,0,0,0,77,2.8104913,1218,7.10578612948127,0,FALSE,,0.018648868,0.0005424689152278,0.85748339,0.987255530544644,TRUE
105450,0.0193292292785596,0.000692073590192377,5447,,Age of Empires® III (2007),39.990002,,12,29,2.484906649788,11.660274,2009,2.53846905945181,0,1,0,1,0,0,0,0,75,-99,29256,10.2838741402678,0,FALSE,,0.00048995588,0,0.65850073,0.0509183030226268,TRUE
105600,0.0248285568594199,0.00148597352616086,5447,,Terraria,9.9899998,,1,3,0,9.9945202,2011,2.39739698503728,1,1,0,1,0,0,0,0,83,1.5811268,785024,13.5734708433912,0,FALSE,,0.0019078508,0,0.29275972,0.220903224933863,TRUE
107410,0.0340494393560211,0.000557489037973585,5447,,Save 75% on Arma 3,29.99,,2,9,0.693147180559945,7.6657534,2013,2.15937886687776,0,1,0,1,0,0,0,0,80,2.7690609,199934,12.2057475927062,0,FALSE,,0.029466387,0.06078149843961,0.62572736,0.338160198836704,TRUE
108200,-0.0107230085174915,0.0015048329905853,5447,,Ticket to Ride,9.9899998,,1,2,0,8.9698629,2012,2.29956683262544,1,1,0,1,0,0,0,0,-99,2.3277383,3803,8.24380842366528,0,FALSE,,0.047619049,0.0649186000227928,0,0,TRUE
108600,0.0539214019953002,0.0018555096534045,5447,,Project Zomboid,14.99,,1,1,0,7.5095892,2013,2.14119366879968,1,1,0,1,0,1,0,0,-99,-99,44875,10.7116584096649,0,FALSE,,0.0069492226,0,0.39885786,0.441363538215228,TRUE
113200,0.0225962545535552,0.00280457728618331,5447,,The Binding of Isaac,4.9899998,,1,3,0,9.6246576,2011,2.36317748840886,1,0,0,1,1,0,0,0,84,2.0620911,50841,10.8364780636327,0,FALSE,,0,0,0,0,TRUE
115300,-0.0157780801745273,0.0125626187075301,5447,,Save 50% on Call of Duty®: Modern Warfare® 3,39.990002,,8,32,2.07944154167984,9.5123291,2011,2.35254876832982,0,1,0,1,0,0,0,0,78,1.4148487,28910,10.2719774245194,0,FALSE,,0.0036363637,0,0.20363636,0.227011494338512,FALSE
200510,0.00705592743489515,0.000627884797258681,5447,,XCOM: Enemy Unknown,29.99,,16,52,2.77258872223978,8.5945206,2012,2.26119216468878,0,1,0,1,1,0,0,0,89,2.3969738,47172,10.7615769740015,0,FALSE,,0.0097560976,0,0.1,0,TRUE
201270,-2.32349663044149e-06,0.00399746465461833,5447,,Total War: SHOGUN 2,29.99,,17,84,2.83321334405622,10.164384,2011,2.41272871135627,0,1,0,1,0,0,0,0,90,2.1393166,46931,10.7564550245435,0,FALSE,,0,,0.058479533,,FALSE
202970,0.0151365867502175,0.00218261109537268,5447,,Save 50% on Call of Duty®: Black Ops II,59.990002,,8,32,2.07944154167984,8.4986305,2012,2.25114763032001,0,1,0,0,0,0,0,0,74,2.7016516,36318,10.5000962992965,0,FALSE,,0.0026002971,0,0.40750372,0.636263745604083,TRUE
203160,0.0170643863334308,0.00172933993782427,5447,,Save 85% on Tomb Raider,14.99,,15,61,2.70805020110221,8.191781,2013,2.21830971519736,0,1,0,1,0,0,0,0,86,1.9868361,197725,12.1946375129042,0,FALSE,,0.0051724138,0,0.19310345,0.453480974858394,TRUE
203680,0.0103156641723868,0.0388071562962151,5447,,F1 RACE STARS™,14.99,,3,26,1.09861228866811,8.4958906,2012,2.25085913660073,0,1,0,0,1,0,0,0,80,2.8853843,1561,7.35372233039963,0,FALSE,,0,0,0,0,FALSE
