="",="(1)",="",="",="",="",="",=""
="",="mean",="sd",="p5",="p25",="p50",="p75",="p95"
="Avg no. streamers live",="0.46",="2.98",="0.00",="0.00",="0.03",="0.12",="1.40"
="Avg no. streamers live (if at least one)",="1.51",="3.14",="1.00",="1.00",="1.04",="1.21",="2.39"
="Max no. streamers live",="1.00",="5.04",="0.00",="0.03",="0.16",="0.56",="3.97"
="Stream duration (hrs)",="2.78",="1.14",="1.19",="1.99",="2.80",="3.46",="4.57"
